open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-08-22 10:00:00,113049.67,113060.0,112512.74,112534.54,455.48522,2025-08-22 10:59:59.999,51328709.5511643,74046,197.19171,22214726.7700536,0
2025-08-22 11:00:00,112534.54,112629.4,112177.27,112320.0,511.03227,2025-08-22 11:59:59.999,57411375.7051175,88286,232.67957,26141666.0798592,0
2025-08-22 12:00:00,112320.01,112713.93,111684.79,112341.5,1660.5893,2025-08-22 12:59:59.999,186194121.52223992,264038,756.25428,84806212.087596,0
2025-08-22 13:00:00,112341.5,112662.27,111932.28,112487.11,1042.30053,2025-08-22 13:59:59.999,117103615.761667,306141,555.79311,62445264.8148746,0
2025-08-22 14:00:00,112487.1,116116.11,112468.35,115808.23,6271.74223,2025-08-22 14:59:59.999,720832101.3222136,735397,3344.09269,384221893.4446097,0
2025-08-22 15:00:00,115808.24,117296.12,115808.23,116370.75,2530.62921,2025-08-22 15:59:59.999,295266996.53209794,279198,1385.66764,161619210.703927,0
2025-08-22 16:00:00,116370.75,116783.22,116116.0,116146.47,1756.6795,2025-08-22 16:59:59.999,204560163.0918277,195648,808.47341,94156467.8963858,0
2025-08-22 17:00:00,116146.48,117032.84,116146.48,117024.0,1300.14206,2025-08-22 17:59:59.999,151789781.2183376,161716,729.86595,85210003.7120267,0
2025-08-22 18:00:00,117024.01,117429.05,116750.0,116805.27,721.60524,2025-08-22 18:59:59.999,84494317.9752424,123746,381.44711,44677032.0985633,0
2025-08-22 19:00:00,116805.27,116914.3,116520.0,116655.79,529.51964,2025-08-22 19:59:59.999,61804089.9791362,95954,209.02679,24398068.1996106,0
2025-08-22 20:00:00,116655.79,117127.44,116570.17,117052.65,545.695,2025-08-22 20:59:59.999,63797756.7647363,78489,262.5201,30692938.8692887,0
2025-08-22 21:00:00,117052.65,117174.43,116829.34,117028.27,678.08593,2025-08-22 21:59:59.999,79323078.3935523,73234,309.6451,36221521.0413178,0
2025-08-22 22:00:00,117028.27,117057.14,116550.96,116757.18,585.72702,2025-08-22 22:59:59.999,68380910.6250843,61139,164.19697,19166253.3527958,0
2025-08-22 23:00:00,116757.18,116937.56,116674.51,116935.99,306.48652,2025-08-22 23:59:59.999,35798238.526326,47073,129.41791,15117189.644327,0
2025-08-23 00:00:00,116936.0,117030.0,116726.64,116870.22,351.38045,2025-08-23 00:59:59.999,41073792.281499,83908,191.20897,22352831.6546375,0
2025-08-23 01:00:00,116870.22,116882.16,116300.0,116453.59,596.49295,2025-08-23 01:59:59.999,69514299.7779079,131024,213.77819,24916398.7972772,0
2025-08-23 02:00:00,116453.59,116547.95,115500.0,115927.98,1195.36796,2025-08-23 02:59:59.999,138569266.0978,187936,408.7498,47383073.7997419,0
2025-08-23 03:00:00,115927.98,116044.55,115458.2,115568.77,504.34283,2025-08-23 03:59:59.999,58360704.7587056,104689,193.49768,22389412.6648479,0
2025-08-23 04:00:00,115568.77,115980.0,115551.2,115926.77,535.76766,2025-08-23 04:59:59.999,62024286.7972004,71999,316.75335,36667395.8901378,0
2025-08-23 05:00:00,115926.77,116034.53,115800.01,115954.51,806.27196,2025-08-23 05:59:59.999,93488979.622358,62727,432.53313,50155741.5370965,0
2025-08-23 06:00:00,115954.51,116015.69,115690.83,115781.16,462.86069,2025-08-23 06:59:59.999,53620465.907336,50234,157.67243,18261811.0508633,0
2025-08-23 07:00:00,115781.16,115928.0,115669.76,115799.47,453.28331,2025-08-23 07:59:59.999,52483401.4616884,62638,203.579,23573898.3542584,0
2025-08-23 08:00:00,115799.46,115861.8,115607.46,115746.12,341.58386,2025-08-23 08:59:59.999,39545140.4699477,56119,153.92607,17820578.2413095,0
2025-08-23 09:00:00,115746.12,115782.03,115605.27,115765.82,288.64099,2025-08-23 09:59:59.999,33387441.9188196,40845,149.10606,17247930.7337829,0
2025-08-23 10:00:00,115765.81,115780.59,115575.72,115575.72,312.57302,2025-08-23 10:59:59.999,36150485.9573602,30911,180.70997,20902165.8752739,0
2025-08-23 11:00:00,115575.73,115616.63,115223.43,115310.13,371.09604,2025-08-23 11:59:59.999,42849588.774195,43193,141.27021,16317747.9253131,0
2025-08-23 12:00:00,115310.13,115486.97,115175.48,115213.6,445.4785,2025-08-23 12:59:59.999,51388281.1577878,70225,189.74466,21889129.3826428,0
2025-08-23 13:00:00,115213.6,115213.6,114735.57,114864.92,981.86665,2025-08-23 13:59:59.999,112892000.0232245,109379,427.04994,49089552.9993271,0
2025-08-23 14:00:00,114864.92,115081.59,114620.0,114621.47,1000.43667,2025-08-23 14:59:59.999,114920563.6196949,109838,376.19865,43222509.4747593,0
2025-08-23 15:00:00,114621.48,114966.87,114560.0,114812.87,599.77984,2025-08-23 15:59:59.999,68861636.1024549,84039,310.06594,35600095.7289847,0
2025-08-23 16:00:00,114812.88,115097.92,114684.11,115020.0,448.76533,2025-08-23 16:59:59.999,51537411.8409745,56667,205.10275,23556591.961733,0
2025-08-23 17:00:00,115020.0,115167.78,114947.46,115087.97,327.26623,2025-08-23 17:59:59.999,37650950.0578359,41660,86.991,10009487.7504052,0
2025-08-23 18:00:00,115087.97,115190.74,115035.11,115145.77,178.18512,2025-08-23 18:59:59.999,20514420.1199512,31990,81.25503,9354979.0563641,0
2025-08-23 19:00:00,115145.77,115173.86,115051.32,115133.91,151.33399,2025-08-23 19:59:59.999,17418522.488135,21418,73.21979,8426976.5368659,0
2025-08-23 20:00:00,115133.92,115325.82,115108.23,115325.81,181.19976,2025-08-23 20:59:59.999,20878517.9697853,29624,96.77225,11150141.9151274,0
2025-08-23 21:00:00,115325.81,115325.82,115001.88,115028.0,194.43314,2025-08-23 21:59:59.999,22386285.5223099,27155,55.97668,6443707.0165124,0
2025-08-23 22:00:00,115028.01,115317.86,115028.0,115317.85,117.57565,2025-08-23 22:59:59.999,13549422.0065491,26726,57.29511,6602082.7931629,0
2025-08-23 23:00:00,115317.86,115454.12,115244.7,115438.05,483.37937,2025-08-23 23:59:59.999,55759563.2808378,24625,380.89348,43939651.9910186,0
2025-08-24 00:00:00,115438.06,115549.44,115315.33,115375.35,457.40004,2025-08-24 00:59:59.999,52781155.2967698,48902,196.09257,22627015.6627169,0
